,chunk,chunk,chunk,chunk,chunk,chunk,chunk,mse,mse,mse,mse,mse,mse,mse,mse,rmse,rmse,rmse,rmse,rmse,rmse,rmse,rmse,mae,mae,mae,mae,mae,mae,mae,mae
,key,chunk_index,start_index,end_index,start_date,end_date,period,sampling_error,realized,value,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert,sampling_error,realized,value,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert,sampling_error,realized,value,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert
0,[0:5999],0,0,5999,,,analysis,26905.70234214533,,1249319.8393156393,1330036.9463420752,1168602.7322892034,1363956.4798729967,1112367.420360809,False,12.08998079044069,,1117.7297702556014,1153.9997126269234,1081.4598278842793,1168.81401546304,1056.3245902930003,False,8.7605193897641,,883.712811686701,909.9943698559933,857.4312535174087,913.0071737870085,850.7181452423536,False
1,[6000:11999],1,6000,11999,,,analysis,26905.70234214533,,1235338.63133238,1316055.738358816,1154621.524305944,1363956.4798729967,1112367.420360809,False,12.08998079044069,,1111.457885541499,1147.727827912821,1075.187943170177,1168.81401546304,1056.3245902930003,False,8.7605193897641,,879.9781774910376,906.25973566033,853.6966193217453,913.0071737870085,850.7181452423536,False
2,[12000:17999],2,12000,17999,,,analysis,26905.70234214533,,1217790.756833591,1298507.863860027,1137073.6498071551,1363956.4798729967,1112367.420360809,False,12.08998079044069,,1103.5355711682298,1139.8055135395518,1067.2656287969078,1168.81401546304,1056.3245902930003,False,8.7605193897641,,873.6208220602648,899.9023802295571,847.3392638909725,913.0071737870085,850.7181452423536,False
3,[18000:23999],3,18000,23999,,,analysis,26905.70234214533,,1235708.0565358296,1316425.1635622655,1154990.9495093937,1363956.4798729967,1112367.420360809,False,12.08998079044069,,1111.6240625930286,1147.8940049643506,1075.3541202217066,1168.81401546304,1056.3245902930003,False,8.7605193897641,,880.9045425511156,907.1861007204079,854.6229843818232,913.0071737870085,850.7181452423536,False
4,[24000:29999],4,24000,29999,,,analysis,26905.70234214533,,1221169.6109505354,1301886.7179769713,1140452.5039240995,1363956.4798729967,1112367.420360809,False,12.08998079044069,,1105.0654328819337,1141.3353752532557,1068.7954905106117,1168.81401546304,1056.3245902930003,False,8.7605193897641,,877.524083236249,903.8056414055413,851.2425250669567,913.0071737870085,850.7181452423536,False
5,[30000:35999],5,30000,35999,,,analysis,26905.70234214533,,1103727.7095741003,1184444.8166005362,1023010.6025476643,1363956.4798729967,1112367.420360809,True,12.08998079044069,,1050.5844609426224,1086.8544033139444,1014.3145185713004,1168.81401546304,1056.3245902930003,True,8.7605193897641,,839.0495746355855,865.3311328048778,812.7680164662931,913.0071737870085,850.7181452423536,True
6,[36000:41999],6,36000,41999,,,analysis,26905.70234214533,,1110916.1871295304,1191633.2941559663,1030199.0801030943,1363956.4798729967,1112367.420360809,True,12.08998079044069,,1054.0000887711208,1090.2700311424428,1017.7301463997987,1168.81401546304,1056.3245902930003,True,8.7605193897641,,842.9709434973402,869.2525016666325,816.6893853280478,913.0071737870085,850.7181452423536,True
7,[42000:47999],7,42000,47999,,,analysis,26905.70234214533,,1103524.541490877,1184241.648517313,1022807.434464441,1363956.4798729967,1112367.420360809,True,12.08998079044069,,1050.487763608352,1086.757705979674,1014.21782123703,1168.81401546304,1056.3245902930003,True,8.7605193897641,,841.317917717347,867.5994758866393,815.0363595480546,913.0071737870085,850.7181452423536,True
8,[48000:53999],8,48000,53999,,,analysis,26905.70234214533,,1101874.8716185542,1182591.9786449901,1021157.7645921182,1363956.4798729967,1112367.420360809,True,12.08998079044069,,1049.7022776094916,1085.9722199808136,1013.4323352381696,1168.81401546304,1056.3245902930003,True,8.7605193897641,,839.638818004119,865.9203761734113,813.3572598348267,913.0071737870085,850.7181452423536,True
9,[54000:59999],9,54000,59999,,,analysis,26905.70234214533,,1095057.5499108857,1175774.6569373216,1014340.4428844497,1363956.4798729967,1112367.420360809,True,12.08998079044069,,1046.4499748726098,1082.7199172439318,1010.1800325012878,1168.81401546304,1056.3245902930003,True,8.7605193897641,,837.0028428166369,863.2844009859292,810.7212846473445,913.0071737870085,850.7181452423536,True
